date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:12:28	58154/58154	U-----	200	untouched ('OK')	text/css	etag:%22e32a-5ae51944310be-gzip%22	https://sparkden.com/wp-content/et-cache/230300/et-core-unified-tb-229651-tb-229677-230300-15990402858497.min.css	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/et-cache/230300/et-core-unified-tb-229651-tb-229677-230300-15990402858497.min.css	(from https://sparkden.com/)
21:12:28	321/321	U-----	200	untouched ('OK')	text/css	etag:%22141-5ae51943a7d3a-gzip%22	https://sparkden.com/wp-content/et-cache/230300/et-core-unified-230300-15990402858497.min.css	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/et-cache/230300/et-core-unified-230300-15990402858497.min.css	(from https://sparkden.com/)
21:12:28	3249/3249	U-----	200	untouched ('')	image/png	etag:%22cb1-5a7f4fb7fa7fa%22	https://sparkden.com/wp-content/uploads/2020/06/5-STAR-REVIEWS-1.png	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/uploads/2020/06/5-STAR-REVIEWS-1.png	(from https://sparkden.com/)
21:12:29	10273/10273	U-----	200	untouched ('')	image/png	etag:%222821-5a7f511999f63%22	https://sparkden.com/wp-content/uploads/2020/06/sparkden-white-logo-1.png	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/uploads/2020/06/sparkden-white-logo-1.png	(from https://sparkden.com/)
21:12:31	46820/46820	U--MC-	200	updated ('OK')	text/html	date:Wed,%2016%20Sep%202020%2007:12:30%20GMT	https://sparkden.com/contact/	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/contact/index.html	(from https://sparkden.com/)
21:12:31	46077/46077	U--MC-	200	updated ('OK')	text/html	date:Wed,%2016%20Sep%202020%2007:12:30%20GMT	https://sparkden.com/about/	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/about/index.html	(from https://sparkden.com/)
21:12:31	52712/52712	U--MC-	200	updated ('OK')	text/html	date:Wed,%2016%20Sep%202020%2007:12:31%20GMT	https://sparkden.com/solutions/	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/solutions/index.html	(from https://sparkden.com/)
21:12:31	36491/36491	U-----	200	untouched ('')	image/png	etag:%228e8b-5a7827205d749%22	https://sparkden.com/wp-content/uploads/2020/06/undraw_process_e90d.png	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/uploads/2020/06/undraw_process_e90d.png	(from https://sparkden.com/)
21:12:31	39620/39620	U-----	200	untouched ('')	image/jpeg	etag:%229ac4-5a79fcc11819f%22	https://sparkden.com/wp-content/uploads/2020/06/s3.jpg	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/uploads/2020/06/s3.jpg	(from https://sparkden.com/)
21:12:31	33967/33967	U-----	200	untouched ('')	image/jpeg	etag:%2284af-5a79fcc032198%22	https://sparkden.com/wp-content/uploads/2020/06/s2.jpg	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/uploads/2020/06/s2.jpg	(from https://sparkden.com/)
